,index,timePeriod,sentiment
9292,3442,1820-01-01,0.0
9295,2884,1820-01-01,0.246
9308,6113,1820-01-01,0.474
9342,182,1820-01-01,0.394
9346,5570,1820-01-01,0.31
9358,1101,1820-01-01,0.124
9359,1219,1820-01-01,0.279
9369,9039,1820-01-01,0.12
9377,7548,1820-01-01,0.176
9382,3017,1820-01-01,0.0
9414,5578,1820-01-01,0.0
9422,1441,1820-01-01,0.269
9431,7811,1820-01-01,0.27
9445,1919,1820-01-01,0.191
9469,2244,1820-01-01,0.251
9478,3619,1820-01-01,0.227
9483,1656,1820-01-01,0.0
9484,444,1820-01-01,0.238
9490,9026,1820-01-01,0.299
9498,3010,1820-01-01,0.202
9502,2414,1820-01-01,0.309
9504,2854,1820-01-01,0.0
9513,891,1820-01-01,0.459
9537,2143,1820-01-01,0.199
9563,4689,1820-01-01,0.286
9569,3211,1820-01-01,0.196
9582,1798,1820-01-01,0.0
9595,2765,1820-01-01,0.218
9599,8864,1820-01-01,0.0
9617,7450,1820-01-01,0.0
9618,5537,1820-01-01,0.0
9623,6730,1820-01-01,0.333
9626,6371,1820-01-01,0.323
9628,9426,1820-01-01,0.0
9632,9223,1820-01-01,0.234
9658,6620,1820-01-01,0.253
9678,214,1820-01-01,0.0
9679,7407,1820-01-01,0.279
9682,8083,1820-01-01,0.0
9692,4377,1820-01-01,0.387
9697,6879,1820-01-01,0.394
9703,1509,1820-01-01,0.235
9713,4870,1820-01-01,0.256
9715,2221,1820-01-01,0.29
9745,9845,1820-01-01,0.0
9747,3043,1820-01-01,0.399
9756,1708,1820-01-01,0.617
9774,9265,1820-01-01,0.097
9788,2300,1820-01-01,0.0
9798,4376,1820-01-01,0.339
9799,757,1820-01-01,0.0
9824,1624,1820-01-01,0.0
9827,622,1820-01-01,0.355
9828,6096,1820-01-01,0.093
9834,8783,1820-01-01,0.127
9835,7315,1820-01-01,0.0
9838,6239,1820-01-01,0.0
9841,4768,1820-01-01,0.23
9851,5568,1820-01-01,0.0
9864,1208,1820-01-01,0.425
9886,4862,1820-01-01,0.0
9894,4237,1820-01-01,0.0
9896,5377,1820-01-01,0.0
9899,3923,1820-01-01,0.0
9906,3616,1820-01-01,0.0
9908,8156,1820-01-01,0.157
9927,7337,1820-01-01,0.0
9947,1210,1820-01-01,0.34
9949,6585,1820-01-01,0.137
9966,4161,1820-01-01,0.175
9969,4102,1820-01-01,0.0
9977,3988,1820-01-01,0.306
10001,9116,1820-01-01,0.105
10010,7020,1820-01-01,0.0
10013,9561,1820-01-01,0.0
10026,4164,1820-01-01,0.0
10030,6340,1820-01-01,0.0
10033,6133,1820-01-01,0.0
10038,2167,1820-01-01,0.0
10043,1750,1820-01-01,0.0
10070,2727,1820-01-01,0.0
10074,3749,1820-01-01,0.223
10122,8238,1820-01-01,0.109
10131,1152,1820-01-01,0.0
10157,216,1820-01-01,0.0
10212,8466,1820-01-01,0.0
10218,6732,1820-01-01,0.459
10226,1716,1820-01-01,0.0
10247,1108,1820-01-01,0.0
10251,1918,1820-01-01,0.097
10257,1979,1820-01-01,0.27
10260,7333,1820-01-01,0.227
10269,225,1820-01-01,0.259
10271,8455,1820-01-01,0.133
10274,9681,1820-01-01,0.119
10276,9571,1820-01-01,0.214
10282,2970,1820-01-01,0.0
10285,6782,1820-01-01,0.0
10309,840,1820-01-01,0.243
10346,5809,1830-01-01,0.266
10352,5733,1830-01-01,0.371
10354,2602,1830-01-01,0.253
10434,4722,1830-01-01,0.202
10441,7026,1830-01-01,0.204
10444,8852,1830-01-01,0.164
10448,4160,1830-01-01,0.291
10451,3910,1830-01-01,0.144
10497,2275,1830-01-01,0.355
10510,151,1830-01-01,0.358
10527,6382,1830-01-01,0.391
